gene	avg_logFC	p_val	p_adj_FDR	pct.1	pct.2	pct.2_mean	pct_ratio	pct_ratio_mean	comparison	comparison_logFC	comparison_FDR	comparison_pct.2
CLSTN1	0.276176503325248	1.28403735433194e-07	1.60855762364514e-07	0.79	0.855	0.701	1.08227848101266	0.887341772151899	c2	c8	c6	c1
TNFRSF21	0.330217731290332	4.49717179851921e-07	5.4534003381528e-07	0.674	0.675	0.571	1.00148367952522	0.847181008902077	c2	c4	c6	c1
TNFAIP8	0.263589856392867	6.04751125668906e-07	7.30514517656535e-07	0.51	0.542	0.314714285714286	1.06274509803922	0.617086834733894	c2	c1	c1	c1
TBC1D2	0.278728271956933	7.16650564023781e-07	8.62363402488975e-07	0.538	0.545	0.310142857142857	1.01301115241636	0.576473712161444	c2	c1	c6	c1
TREM2	0.488584100789127	7.47437179384881e-07	8.98261029120272e-07	0.274	0.097	0.034	0.354014598540146	0.124087591240876	c2	c1	c6	c1
KCNJ15	0.350239077028151	8.41158954797849e-07	1.00448042698576e-06	0.365	0.271	0.089	0.742465753424658	0.243835616438356	c2	c1	c1	c1
HYKK	0.286557471864554	9.91843006219338e-07	1.17843973339949e-06	0.268	0.134	0.0721428571428571	0.5	0.269189765458422	c2	c1	c6	c1
CNIH1	0.277184502350921	5.79170771745189e-06	6.64228758332996e-06	0.781	0.828	0.697142857142857	1.06017925736236	0.892628498262301	c2	c3	c6	c1
HSPA2	0.385356929451378	1.35967935446882e-05	1.53781042374419e-05	0.583	0.495	0.303714285714286	0.849056603773585	0.520950747365842	c2	c3	c6	c1
IL18	0.30478283005048	2.17363931005589e-05	2.4320982054252e-05	0.577	0.626	0.382	1.08492201039861	0.662045060658579	c2	c4	c6	c1
MMP1	0.458780123103328	7.75858012031624e-05	8.52402089108883e-05	0.234	0.177	0.0621428571428571	0.756410256410256	0.265567765567766	c2	c1	c1	c1
EDN1	0.496230729250766	0.000113125577172721	0.00012370850449684	0.39	0.382	0.208	0.979487179487179	0.533333333333333	c2	c1	c1	c1
GPR155	0.311467879952369	0.000156129717290978	0.000170241093824809	0.283	0.126	0.0744285714285714	0.445229681978799	0.262998485613327	c2	c6	c6	c6
CXCL2	0.314237653596408	0.00118353102666197	0.0012584211255242	0.804	0.842	0.678285714285714	1.04726368159204	0.84363894811656	c2	c3	c7	c1
ARL4A	0.259032593983738	0.00367256600214893	0.00386348195418909	0.752	0.84	0.688142857142857	1.11702127659574	0.91508358662614	c2	c6	c6	c1
HAS3	0.283565125143409	0.0152513395502106	0.0158143366575738	0.403	0.447	0.138428571428571	1.10918114143921	0.343495214462956	c2	c1	c1	c1
C19orf33	0.311519049718588	2.65620294998301e-33	2.09162090036319e-32	0.985	0.989	0.907142857142857	1.00406091370558	0.920957215373459	c4	c1	c1	c1
GPRC5A	0.444887484266404	6.85649514667686e-30	4.17602714111516e-29	0.959	0.961	0.738428571428571	1.00208550573514	0.769998510353046	c4	c1	c1	c1
BHLHE40	0.417111131010518	5.74918993450935e-28	3.09142155907046e-27	0.951	0.943	0.757714285714286	0.991587802313354	0.796755295178008	c4	c1	c6	c1
TXN	0.31986839734577	1.5576237873439e-26	7.55527826747736e-26	0.999	1	0.995428571428571	1.001001001001	0.996424996424996	c4	c1	c1	c1
EPAS1	0.327947077476601	3.78518196684412e-26	1.79251904947413e-25	0.917	0.913	0.675142857142857	0.995637949836423	0.736251752609441	c4	c2	c2	c1
SERPINB1	0.386641983977086	2.92822715772277e-23	1.16019442333353e-22	0.894	0.895	0.754	1.00111856823266	0.843400447427293	c4	c1	c1	c1
CLDN4	0.415916424044614	3.2281252842758e-22	1.19358188310551e-21	0.997	1	0.976857142857143	1.00300902708124	0.979796532454506	c4	c1	c6	c7
CSTA	0.354052111053992	6.86474767290206e-22	2.46918755713977e-21	0.955	0.977	0.719285714285714	1.02303664921466	0.753178758414361	c4	c1	c1	c1
PHLDA2	0.378445622224498	1.60874209004614e-20	5.20215225681587e-20	0.915	0.924	0.747428571428571	1.00983606557377	0.816861826697892	c4	c5	c5	c5
PVRL4	0.356144815853258	1.07767879116193e-19	3.3032434608579e-19	0.738	0.662	0.393142857142857	0.897018970189702	0.532713898567557	c4	c1	c6	c5
A4GALT	0.353664562141527	3.22237597379335e-18	8.7133787107458e-18	0.873	0.86	0.620142857142857	0.985108820160366	0.710358370152185	c4	c1	c6	c1
AKR1C2	0.359485889108559	3.84785573248711e-18	1.03452349836296e-17	0.906	0.906	0.707	1	0.780353200883002	c4	c1	c1	c1
ELF3	0.32247895938545	1.74542423232139e-16	4.14725908510796e-16	0.998	1	0.987285714285714	1.00200400801603	0.989264242771257	c4	c5	c6	c5
EPHA2	0.325698142270455	6.7860753488647e-15	1.44800383294369e-14	0.839	0.837	0.594714285714286	0.99761620977354	0.708837050910949	c4	c1	c1	c1
TMPRSS4	0.278422182095563	7.22047066250688e-15	1.53720879941606e-14	0.85	0.847	0.597428571428571	0.996470588235294	0.702857142857143	c4	c1	c1	c1
DENND2C	0.377259898735979	1.18713673819745e-14	2.48519615271146e-14	0.687	0.626	0.313714285714286	0.911208151382824	0.456643792888334	c4	c1	c1	c1
HES1	0.356036351711654	2.02712964844791e-14	4.15131447048854e-14	0.966	0.964	0.830857142857143	0.997929606625259	0.860100561963916	c4	c1	c1	c1
CTSD	0.279596919211439	1.22759327307997e-13	2.3647190787477e-13	0.994	0.997	0.980714285714286	1.00301810865191	0.986634090255821	c4	c1	c6	c1
MAFF	0.309744069104086	1.57222388155197e-13	2.99183553597655e-13	0.856	0.843	0.674857142857143	0.98481308411215	0.788384512683578	c4	c3	c6	c1
AKR1C3	0.347778464043308	1.33318996231332e-12	2.38731066515096e-12	0.806	0.804	0.612428571428571	0.997518610421836	0.759836937256292	c4	c8	c8	c8
ZNF750	0.340916707561243	2.52519635709437e-12	4.40038846671445e-12	0.626	0.488	0.273428571428571	0.779552715654952	0.436786855317207	c4	c1	c6	c1
GPX2	0.326414778268599	7.87198510594119e-11	1.22539917033758e-10	0.951	0.956	0.795	1.00525762355415	0.83596214511041	c4	c2	c6	c1
SULT2B1	0.34835511206369	9.32875352024813e-11	1.43907492828746e-10	0.526	0.398	0.221714285714286	0.756653992395437	0.421510048886475	c4	c1	c6	c1
NET1	0.277934669042022	9.65276888187243e-11	1.48419207807875e-10	0.797	0.777	0.632428571428571	0.974905897114178	0.793511381968095	c4	c1	c6	c1
FOSL2	0.268146123959905	2.36571264613186e-10	3.53354857144458e-10	0.666	0.657	0.461	0.986486486486487	0.692192192192192	c4	c1	c1	c1
RHOV	0.368371075255695	3.85441863874149e-10	5.66719990477459e-10	0.896	0.897	0.565285714285714	1.00111607142857	0.630899234693878	c4	c7	c7	c7
CLCA4	0.351941366150949	2.82940994468222e-09	3.95612891225256e-09	0.352	0.258	0.0882857142857143	0.732954545454546	0.250811688311688	c4	c1	c1	c1
UNC5B-AS1	0.454545926962202	1.13623691716341e-08	1.51016799300956e-08	0.696	0.676	0.409428571428571	0.971264367816092	0.588259441707718	c4	c1	c6	c1
LRRC8A	0.258716940396402	1.17193732008057e-08	1.55542033596025e-08	0.771	0.791	0.477285714285714	1.02594033722438	0.619047619047619	c4	c1	c1	c1
ITPKC	0.268945508822044	7.38021959817868e-08	9.35955073030477e-08	0.613	0.583	0.377571428571429	0.951060358890701	0.615940340247029	c4	c1	c1	c1
APOBEC3A	0.410440474515561	1.98317219484488e-06	2.32254515911516e-06	0.231	0.134	0.0548571428571429	0.58008658008658	0.23747680890538	c4	c1	c6	c1
DUSP5	0.270532651319989	3.92826644781356e-06	4.54115322775499e-06	0.783	0.784	0.459571428571429	1.00127713920817	0.586936690384966	c4	c5	c5	c5
IGFBP3	0.407419847127646	2.94470007413822e-05	3.27924588137759e-05	0.707	0.713	0.426	1.00848656294201	0.602545968882603	c4	c5	c1	c1
KRT4	0.497969228483854	0.00088453783731343	0.000943707601940972	0.289	0.23	0.129	0.795847750865052	0.44636678200692	c4	c1	c1	c1
BPIFB1	1.08621588091824	2.52976387794313e-48	1.37754482036969e-46	0.997	0.97	0.788285714285714	0.972918756268806	0.790657687347758	c5	c7	c6	c7
VMO1	1.37075606721312	4.83756070220144e-46	1.51292416220619e-44	0.986	0.767	0.589	0.77789046653144	0.5973630831643	c5	c4	c6	c1
MSMB	3.1076764552949	6.13948020834968e-44	1.32810364966829e-42	0.989	0.852	0.709	0.861476238624874	0.716885743174924	c5	c7	c6	c7
S100P	1.19060964096107	3.306008180274e-43	6.48115353674549e-42	0.978	0.898	0.721	0.918200408997955	0.73721881390593	c5	c4	c6	c4
RDH10	0.748777027248756	6.4145130963296e-40	8.32559561882228e-39	0.935	0.671	0.415857142857143	0.717647058823529	0.444766997708174	c5	c4	c6	c4
CD55	0.744681885206315	2.5396327753757e-38	2.96868874736464e-37	0.963	0.882	0.644714285714286	0.91588785046729	0.669485239578698	c5	c7	c6	c7
CEACAM6	0.867169801721682	7.42230839926239e-37	7.67515626780869e-36	0.879	0.586	0.274285714285714	0.666666666666667	0.312042905899561	c5	c7	c6	c7
FAM3D	0.635388845426167	7.5688050038937e-36	7.19418738248886e-35	0.946	0.909	0.417	0.960887949260042	0.440803382663848	c5	c7	c7	c7
MSLN	0.696821969424248	5.6648643513997e-34	4.69659678825297e-33	0.91	0.563	0.349857142857143	0.618681318681319	0.384458398744113	c5	c7	c7	c7
CXCL17	0.561948760092037	2.33922803626541e-33	1.8553009961861e-32	0.983	1	0.809	1.01729399796541	0.822990844354018	c5	c7	c7	c7
CEACAM5	1.11981535889582	4.38355106046883e-33	3.38108323598456e-32	0.835	0.286	0.105857142857143	0.34251497005988	0.1267750213858	c5	c4	c6	c4
CLDN10	0.509421447282861	2.99931352670241e-32	2.15446872414272e-31	0.902	0.673	0.452571428571429	0.746119733924612	0.501742160278746	c5	c4	c6	c4
CDC42EP5	0.597876589608016	1.82121386357474e-31	1.24637254227188e-30	0.814	0.559	0.287714285714286	0.686732186732187	0.353457353457353	c5	c4	c6	c7
VSIG2	0.574876840722736	9.68267283928729e-30	5.82197772637018e-29	0.833	0.631	0.267714285714286	0.75750300120048	0.321385697135997	c5	c7	c6	c7
CYP2F1	0.801557919265255	1.21603624643412e-28	6.81125064222922e-28	0.754	0.262	0.101857142857143	0.347480106100796	0.135089048882152	c5	c7	c6	c7
TSPAN8	1.16322057580787	6.64683479645332e-28	3.54372325408644e-27	0.892	0.601	0.282	0.673766816143498	0.316143497757848	c5	c7	c6	c7
MUC5AC	2.66194737524891	2.59043702245606e-27	1.30005399366995e-26	0.789	0.297	0.192857142857143	0.376425855513308	0.24443237370994	c5	c8	c6	c7
LINC01207	0.475834849916173	8.03399556572279e-25	3.47585739188283e-24	0.743	0.306	0.167142857142857	0.411843876177658	0.224956739088637	c5	c4	c6	c4
CTSC	0.4194917178297	1.3155268666682e-24	5.58876199338499e-24	0.949	0.922	0.687714285714286	0.971548998946259	0.724672587686286	c5	c4	c6	c1
SLC31A1	0.611346155570311	3.11886811924801e-24	1.30728503350217e-23	0.856	0.433	0.295285714285714	0.505841121495327	0.344959946595461	c5	c4	c6	c7
CREB3L1	0.513490359964702	9.5459171020863e-24	3.89705335924651e-23	0.813	0.531	0.252285714285714	0.653136531365314	0.310314531716746	c5	c4	c6	c4
CCNO	1.26391690740499	9.41784436470834e-23	3.60985399070898e-22	0.798	0.392	0.277428571428571	0.491228070175439	0.34765485141425	c5	c8	c6	c8
GALNT6	0.557169394018225	1.46250236327029e-22	5.51589067670278e-22	0.725	0.326	0.188857142857143	0.449655172413793	0.260492610837438	c5	c4	c6	c1
SCGB1A1	2.31315860548575	3.38852884381374e-21	1.15738861779627e-20	0.921	0.837	0.697857142857143	0.908794788273616	0.757716767488754	c5	c4	c6	c7
C8orf4	0.379761391354799	1.05683511723663e-20	3.4590672880684e-20	0.683	0.365	0.226714285714286	0.534407027818448	0.331938924911106	c5	c2	c6	c7
SPDEF	0.539297078369304	2.23725094996316e-20	7.17292382935377e-20	0.705	0.433	0.211714285714286	0.614184397163121	0.300303951367781	c5	c7	c6	c7
PRSS23	0.294955754915021	3.34398737752118e-20	1.05593695377431e-19	0.97	0.98	0.811285714285714	1.01030927835052	0.836377025036819	c5	c4	c4	c1
ATP12A	0.501629257515235	6.53881115938047e-20	2.0374242718467e-19	0.713	0.407	0.205142857142857	0.570827489481066	0.287717892205971	c5	c7	c6	c7
CXCL6	0.904501497398591	4.93081384052385e-19	1.42766025351783e-18	0.722	0.428	0.286571428571429	0.592797783933518	0.396913335971508	c5	c4	c6	c1
ALPL	0.630020906037841	1.34103469713125e-18	3.73347233727961e-18	0.665	0.236	0.107857142857143	0.354887218045113	0.16219119226638	c5	c4	c6	c7
SLC5A8	0.475922785437253	2.85089773585447e-18	7.76467371762391e-18	0.738	0.529	0.156571428571429	0.71680216802168	0.212156407278359	c5	c7	c7	c7
GALE	0.353051606994498	4.7072927616527e-18	1.26198361501857e-17	0.787	0.638	0.401857142857143	0.810673443456163	0.510618987111998	c5	c4	c6	c1
TMEM92	0.295174391198339	2.48502057065952e-17	6.34573773945892e-17	0.537	0.165	0.0978571428571429	0.307262569832402	0.182229316307529	c5	c2	c6	c4
LYPD2	1.29073454392355	1.05372779236396e-16	2.55227246490214e-16	0.608	0.217	0.117142857142857	0.356907894736842	0.192669172932331	c5	c4	c6	c7
KDELR2	0.367257880786328	1.24341934895633e-16	2.9886528923829e-16	0.919	0.878	0.725571428571429	0.955386289445049	0.789522773200684	c5	c7	c7	c1
AGR2	0.687244901160332	1.66302318899251e-16	3.96680562951065e-16	0.998	0.996	0.942714285714286	0.997995991983968	0.944603492699685	c5	c7	c7	c7
GPX8	0.267161756158895	1.33415985741025e-15	3.00345556416997e-15	0.519	0.336	0.196142857142857	0.647398843930636	0.377924580236719	c5	c1	c6	c1
SERPINB11	0.564622195474688	2.55149929805612e-14	5.18566056041212e-14	0.562	0.217	0.141571428571429	0.386120996441281	0.251906456532791	c5	c4	c6	c4
KLK11	0.349376510753541	4.36498332988921e-14	8.66550488064503e-14	0.867	0.847	0.514142857142857	0.976931949250288	0.593013676058659	c5	c4	c4	c1
SLC6A14	0.259811927931116	1.42978405940924e-13	2.73183106579511e-13	0.8	0.647	0.357714285714286	0.80875	0.447142857142857	c5	c4	c4	c4
UGT2A1	0.271118302767378	1.85072840107112e-13	3.50409542335599e-13	0.544	0.243	0.109857142857143	0.446691176470588	0.201943277310924	c5	c4	c6	c4
RP1-122P22.4	0.252037793039414	5.63111668946143e-13	1.03696297549574e-12	0.459	0.197	0.0832857142857143	0.429193899782135	0.181450357920946	c5	c4	c6	c4
MUC1	0.392051482826352	7.44383042296657e-13	1.36277128949641e-12	0.986	0.966	0.769857142857143	0.979716024340771	0.780788177339902	c5	c8	c7	c7
SEC24D	0.341602992627595	1.48140748081204e-12	2.64516971431524e-12	0.633	0.335	0.204285714285714	0.529225908372828	0.322726246896863	c5	c7	c6	c7
RIMS1	0.294488169673776	4.82506894609506e-12	8.29294954936156e-12	0.524	0.176	0.0784285714285714	0.33587786259542	0.149672846237732	c5	c4	c6	c4
XBP1	0.337384298869241	1.49253422561933e-11	2.46183121175775e-11	0.956	0.985	0.774	1.03033472803347	0.809623430962343	c5	c7	c7	c7
MDK	0.46568827707266	5.77522060199179e-11	9.14126591501139e-11	0.978	0.916	0.733	0.936605316973415	0.749488752556237	c5	c6	c6	c7
S100A4	0.373348439019001	7.21820451796119e-11	1.12923199524547e-10	0.835	0.727	0.594428571428571	0.870658682634731	0.711890504704876	c5	c4	c4	c1
KCNK1	0.253164720682435	1.97861111923477e-10	2.98377093461525e-10	0.706	0.497	0.322285714285714	0.703966005665722	0.45649534601376	c5	c4	c6	c1
PYCR1	0.324621166653242	2.32741453339797e-10	3.48019581682115e-10	0.578	0.3	0.154	0.519031141868512	0.26643598615917	c5	c7	c6	c7
SEL1L3	0.261958699426624	3.12968559296821e-10	4.62328750860767e-10	0.611	0.407	0.242142857142857	0.666121112929624	0.396305821837737	c5	c7	c6	c7
PAQR4	0.377687667307278	6.09622971092055e-10	8.84587842401887e-10	0.527	0.351	0.131714285714286	0.666034155597723	0.249932230956899	c5	c1	c6	c1
LYNX1	0.59924607228268	8.11102625570707e-10	1.16793813414236e-09	0.454	0.213	0.126142857142857	0.469162995594714	0.277847702957835	c5	c4	c6	c7
CREB3L4	0.263142055200211	6.65062725611907e-09	9.01114506552635e-09	0.502	0.26	0.172285714285714	0.51792828685259	0.343198634035287	c5	c8	c6	c1
ARL1	0.306617263606643	4.63076109645314e-08	5.93671143291881e-08	0.884	0.779	0.64	0.881221719457014	0.723981900452489	c5	c7	c6	c7
ERGIC1	0.275574854608258	7.09428422107168e-08	9.0090707854635e-08	0.779	0.612	0.463285714285714	0.785622593068036	0.594718503576013	c5	c4	c6	c7
TSPAN13	0.389004364104812	2.11505725227636e-07	2.61361638134216e-07	0.908	0.848	0.705571428571429	0.933920704845815	0.77706104468219	c5	c6	c6	c7
CDK2AP2	0.366218702463287	9.43636356376015e-07	1.12187215584312e-06	0.752	0.684	0.524857142857143	0.909574468085106	0.697948328267477	c5	c7	c6	c1
LINC00342	0.294223418629161	1.34312905691847e-06	1.5877945258295e-06	0.516	0.357	0.138714285714286	0.691860465116279	0.268826135105205	c5	c7	c7	c7
DEFB4A	0.306350472595638	3.30975752920888e-06	3.85217295607366e-06	0.243	0.101	0.0361428571428571	0.415637860082305	0.148736037624927	c5	c8	c6	c8
TFF1	0.839299688243802	1.019327009551e-05	1.15913802536253e-05	0.306	0.08	0.0211428571428571	0.261437908496732	0.069094304388422	c5	c6	c6	c6
JTB	0.26247035466817	1.33169190288898e-05	1.50706203321531e-05	0.951	0.916	0.843857142857143	0.963196635120925	0.887336638125282	c5	c6	c6	c1
CDC20B	0.732560709424211	1.43452236674694e-05	1.61856780228881e-05	0.225	0.023	0.015	0.102222222222222	0.0666666666666667	c5	c6	c6	c8
BPIFA1	0.655491881310442	1.48878585538552e-05	1.67778142505123e-05	0.667	0.593	0.379571428571429	0.889055472263868	0.569072606553866	c5	c7	c7	c7
CRELD2	0.279580769224626	1.65905212781764e-05	1.86630968592517e-05	0.687	0.62	0.447428571428571	0.902474526928675	0.651278852152215	c5	c7	c6	c1
TMEM208	0.253366831690287	1.79414607736389e-05	2.01346625974886e-05	0.838	0.742	0.604	0.885441527446301	0.720763723150358	c5	c6	c6	c1
CD63	0.271026586306712	2.16927921236795e-05	2.42866357981944e-05	1	0.999	0.994	0.999	0.994	c5	c6	c6	c1
CYP2A6	0.321509025184455	2.33579798458886e-05	2.6104345647246e-05	0.178	0.101	0.0387142857142857	0.567415730337079	0.217495987158909	c5	c7	c6	c8
C15orf48	0.370618673662299	3.49100139740666e-05	3.87843248519442e-05	0.717	0.597	0.337285714285714	0.832635983263598	0.470412432755529	c5	c7	c7	c7
SEC61G	0.260405773922117	4.74101904143027e-05	5.23626633566418e-05	0.946	0.947	0.893142857142857	1.00105708245243	0.94412564180006	c5	c7	c7	c7
HMOX1	0.259957144337308	6.00945008086458e-05	6.62553312957653e-05	0.289	0.126	0.0728571428571429	0.43598615916955	0.252100840336134	c5	c4	c6	c4
PSCA	0.50256482526227	0.000196507620582507	0.000213402967072289	0.905	0.912	0.425	1.00773480662983	0.469613259668508	c5	c8	c8	c8
KLK12	0.309849429286731	0.00104887980774209	0.00111777565015324	0.395	0.207	0.0471428571428571	0.524050632911392	0.119349005424955	c5	c6	c6	c6
HMGCS1	0.313907647156004	0.00250532897728397	0.00264443585824365	0.708	0.517	0.389428571428571	0.730225988700565	0.550040355125101	c5	c6	c6	c6
TFF3	0.276363617415534	0.002539297978445	0.00267728784057898	0.994	0.961	0.734714285714286	0.966800804828974	0.73914918079908	c5	c6	c6	c8
ANKRD36C	0.261142132843081	0.00344860126766553	0.0036299035714466	0.841	0.795	0.371285714285714	0.945303210463734	0.441481229828436	c5	c7	c7	c7
MT1G	0.508684384219956	0.0136732390404411	0.0141936215521843	0.317	0.281	0.139	0.886435331230284	0.438485804416404	c5	c1	c1	c1
FDPS	0.265646141563298	0.0351824810862162	0.0362813311804158	0.883	0.921	0.745428571428571	1.04303510758777	0.844199967642776	c5	c7	c6	c1
KIAA0101	1.50905635006898	1.10540959629801e-42	2.00036621176236e-41	0.92	0.234	0.146571428571429	0.254347826086957	0.159316770186335	c1	c4	c6	c4
TYMS	1.020096935302	3.06016678840274e-36	2.98951321144339e-35	0.847	0.135	0.0855714285714286	0.159386068476978	0.101028841288582	c1	c4	c6	c5
TK1	1.30769146012583	9.59741140298676e-36	9.07654686453321e-35	0.879	0.183	0.132714285714286	0.208191126279863	0.150983260198277	c1	c6	c6	c7
ZWINT	0.871015719708703	1.24847163648864e-30	8.07430797206742e-30	0.847	0.149	0.109428571428571	0.175914994096812	0.129195479844831	c1	c6	c6	c5
RRM2	1.0715792954381	1.93586685189331e-29	1.13853169226975e-28	0.739	0.086	0.0477142857142857	0.11637347767253	0.0645660158515368	c1	c4	c6	c5
TOP2A	1.50347709600512	3.58549587925607e-28	1.95026105339882e-27	0.764	0.121	0.0771428571428571	0.158376963350785	0.100972326103216	c1	c5	c6	c5
PBK	0.829716567359094	1.67112687941769e-27	8.61660489606603e-27	0.7	0.059	0.0327142857142857	0.0842857142857143	0.046734693877551	c1	c4	c6	c5
MAD2L1	0.637835947186647	2.06181367094152e-27	1.04873873748971e-26	0.757	0.194	0.101428571428571	0.256274768824306	0.133987544819777	c1	c8	c6	c8
BIRC5	0.920617889663376	2.21100236068202e-27	1.11557813479988e-26	0.743	0.112	0.0695714285714286	0.150740242261104	0.0936358392616805	c1	c4	c6	c4
UBE2C	1.39830533427403	2.45480117748687e-27	1.23527695615783e-26	0.754	0.152	0.089	0.20159151193634	0.118037135278515	c1	c6	c6	c5
NUSAP1	1.07515031010234	3.43217644469264e-27	1.70882435685491e-26	0.732	0.085	0.0545714285714286	0.116120218579235	0.0745511319281811	c1	c4	c6	c4
MKI67	1.00270165036634	1.72273705610603e-24	7.25322402593189e-24	0.71	0.08	0.0462857142857143	0.112676056338028	0.0651911468812877	c1	c4	c6	c6
PRC1	0.685291155481764	2.51671082164183e-22	9.36057266073107e-22	0.687	0.08	0.0525714285714286	0.116448326055313	0.0765231856934914	c1	c4	c6	c6
FEN1	0.611594956472722	3.88557712714237e-22	1.42269574966575e-21	0.688	0.17	0.108714285714286	0.247093023255814	0.158014950166113	c1	c3	c6	c5
ASF1B	0.59643843947453	5.16505865317851e-22	1.86935392024653e-21	0.631	0.054	0.0357142857142857	0.0855784469096672	0.0565995019243831	c1	c4	c6	c5
CDC20	0.724163780083732	2.66620936167295e-21	9.1565803260374e-21	0.616	0.14	0.0707142857142857	0.227272727272727	0.114795918367347	c1	c5	c6	c5
